Column1,Column2,Column3
4.2,0.7672428008939357,0.7695710726806941
4.4,0.7827822690425862,0.7848611665883231
4.6,0.7980413861857318,0.7998326931039581
4.8,0.8132168030065481,0.8153878831834689
5.0,0.8284503559405171,0.8302177500225076
5.2,0.8433107975647234,0.845455088027206
5.4,0.8582430704715633,0.8606720064698334
5.6,0.8727949926032549,0.8752191915391119
5.8,0.8871180942165287,0.8894728393058182
6.0,0.9014271694743153,0.9040413665461627
6.2,0.9152990933153277,0.9180458103352305
6.4,0.92859960844762,0.9315425394645438
6.6,0.9413585026343719,0.9445171449725197
6.8,0.9536061184537831,0.9569273564526369
7.0,0.9652925855925679,0.9687126398968332
7.2,0.9762019736106006,0.9804326798667363
7.4,0.9860491954290233,0.9918168719033398
7.6,0.9945366135923427,1.0022711005550946
7.8,1.0033086132584768,1.0117099253277495
8.0,1.0108500770584345,1.0215609626254916
8.2,1.0171238437740313,1.030891574206909
8.4,1.0226828172720657,1.0397201004606242
8.6,1.027258260978064,1.0472475947043678
8.8,1.0322250330891,1.0531213335944571
9.0,1.0376328428813997,1.0589463868648679
9.2,1.042252867682002,1.066791085985472
9.4,1.045995664236679,1.0726880915848063
9.6,1.0536733583025233,1.0800334062733041
9.8,1.0579872151539278,1.0863975764293732
10.0,1.0657755663581538,1.0938232747440493
10.2,1.0707406076953223,1.0993705994352778
10.4,1.0790074994577852,1.1075147638577252
10.6,1.0852152064258207,1.1108537117488748
10.8,1.093362418638746,1.1194029426655934
11.0,1.101204952493363,1.1264282143889777
11.2,1.1094630291468193,1.1295679068902436
11.4,1.1176270812963298,1.137616917133381
11.6,1.1264927342379605,1.1447217877245006
11.8,1.1386148834996905,1.1500344527501323
12.0,1.1460494960618681,1.155172755189607
12.2,1.1545816458481206,1.1621280825197218
12.4,1.1668750589759669,1.1684901941006587
12.6,1.1752418645858809,1.1743594557946464
12.8,1.181829221591002,1.179861261307253
13.0,1.1900610950258168,1.1858310465673954
13.2,1.2028055991877502,1.1915478088800635
13.4,1.2154358075756433,1.1973494554868687
13.6,1.216073121421028,1.2033014813387497
13.8,1.2185318291604703,1.2099986900175081
14.0,1.2231828144810426,1.2131713328995688
14.2,1.2286622008244403,1.2169642229087743
14.4,1.2461658122083938,1.220763522972805
14.6,1.2372124729621812,1.2250359359212777
14.8,1.229669809353117,1.2300908181385384
15.0,1.2227497936695022,1.2385183654891794
15.2,1.2154116939430506,1.24114988399436
15.4,1.2074662414813744,1.2394770181534955
15.6,1.198730774456936,1.23791165728574
